Benchmark, DL1_A ,Energy, Runtime
bzip, 1, 129.310730, 0.087150
hmmer, 1, 93.550455, 0.060575
libm, 1, 237.449766, 0.175527
mcf, 1, 97.021891, 0.065300
sjeng, 1, 670.329293, 0.514649
bzip, 16, 134.576004, 0.084266
hmmer, 16, 100.674915, 0.059385
libm, 16, 230.311920, 0.174772
mcf, 16, 104.081799, 0.065165
sjeng, 16, 646.625051, 0.513658
bzip, 2, 127.427582, 0.085526
hmmer, 2, 92.262480, 0.059396
libm, 2, 237.012853, 0.174772
mcf, 2, 97.074460, 0.065187
sjeng, 2, 670.463018, 0.513664
bzip, 4, 102.961586, 0.084741
hmmer, 4, 75.627682, 0.059387
libm, 4, 189.142977, 0.174772
mcf, 4, 79.472719, 0.065174
sjeng, 4, 533.632001, 0.513649
bzip, 8, 111.097908, 0.084451
hmmer, 8, 81.697716, 0.059384
libm, 8, 200.641577, 0.174772
mcf, 8, 87.076830, 0.065168
sjeng, 8, 575.537818, 0.513663
