Benchmark, IL1_A ,Energy, Runtime
bzip, 1, 127.405524, 0.085531
hmmer, 1, 100.485016, 0.065852
libm, 1, 236.951985, 0.174769
mcf, 1, 99.622710, 0.067065
sjeng, 1, 670.280696, 0.513653
bzip, 16, 143.746666, 0.085516
hmmer, 16, 103.589850, 0.059386
libm, 16, 271.105018, 0.175298
mcf, 16, 98.942262, 0.058010
sjeng, 16, 768.562255, 0.513671
bzip, 2, 127.427582, 0.085526
hmmer, 2, 92.262480, 0.059396
libm, 2, 237.012853, 0.174772
mcf, 2, 97.074460, 0.065187
sjeng, 2, 670.463018, 0.513664
bzip, 4, 134.200695, 0.085522
hmmer, 4, 96.960085, 0.059389
libm, 4, 251.522303, 0.175298
mcf, 4, 92.453070, 0.058003
sjeng, 4, 711.166379, 0.513660
bzip, 8, 137.981024, 0.085522
hmmer, 8, 99.578550, 0.059385
libm, 8, 259.270475, 0.175298
mcf, 8, 95.016860, 0.058003
sjeng, 8, 733.884326, 0.513671
