Benchmark, IL1_S ,Energy, Runtime
bzip, 128, 186.483371, 0.085526
hmmer, 128, 133.246617, 0.059382
libm, 128, 358.673206, 0.175298
mcf, 128, 127.920345, 0.058010
sjeng, 128, 1022.753631, 0.513667
bzip, 16, 126.810998, 0.085531
hmmer, 16, 91.879198, 0.059432
libm, 16, 235.734992, 0.174767
mcf, 16, 103.280420, 0.070371
sjeng, 16, 666.708725, 0.513651
bzip, 32, 127.427582, 0.085526
hmmer, 32, 92.262480, 0.059396
libm, 32, 237.012853, 0.174772
mcf, 32, 97.074460, 0.065187
sjeng, 32, 670.463018, 0.513664
bzip, 64, 162.050079, 0.085522
hmmer, 64, 116.293288, 0.059386
libm, 64, 308.606344, 0.175298
mcf, 64, 111.352051, 0.058010
sjeng, 64, 878.440435, 0.513664
bzip, 8, 126.545474, 0.085550
hmmer, 8, 91.749655, 0.059487
libm, 8, 235.164373, 0.174787
mcf, 8, 136.909024, 0.097052
sjeng, 8, 664.969565, 0.513657
