Benchmark, L2_A ,Energy, Runtime
bzip, 16, 127.367724, 0.085456
hmmer, 16, 92.273171, 0.059396
libm, 16, 237.067033, 0.174772
mcf, 16, 97.090255, 0.065185
sjeng, 16, 670.474673, 0.513525
bzip, 2, 127.922921, 0.085941
hmmer, 2, 92.258797, 0.059396
libm, 2, 236.975976, 0.174772
mcf, 2, 97.055181, 0.065179
sjeng, 2, 670.321232, 0.513651
bzip, 32, 127.369125, 0.085430
hmmer, 32, 92.284219, 0.059396
libm, 32, 237.140612, 0.174772
mcf, 32, 97.109261, 0.065181
sjeng, 32, 670.695277, 0.513504
bzip, 4, 127.522002, 0.085610
hmmer, 4, 92.259866, 0.059396
libm, 4, 236.987511, 0.174772
mcf, 4, 97.062571, 0.065183
sjeng, 4, 670.356591, 0.513647
bzip, 8, 127.427582, 0.085526
hmmer, 8, 92.262480, 0.059396
libm, 8, 237.012853, 0.174772
mcf, 8, 97.074460, 0.065187
sjeng, 8, 670.463018, 0.513664
