Benchmark, LS ,Energy, Runtime
bzip, 128, 154.289876, 0.084543
hmmer, 128, 110.920490, 0.059099
libm, 128, 211.746560, 0.129180
mcf, 128, 121.704878, 0.066747
sjeng, 128, 532.633545, 0.340068
bzip, 16, 84.737336, 0.110184
hmmer, 16, 49.095598, 0.061015
libm, 16, 362.677656, 0.490200
mcf, 16, 56.954948, 0.072004
sjeng, 16, 1226.219665, 1.674434
bzip, 256, 307.654923, 0.084335
hmmer, 256, 213.913927, 0.058993
libm, 256, 334.585320, 0.099564
mcf, 256, 235.939080, 0.065080
sjeng, 256, 835.519822, 0.258892
bzip, 32, 97.167427, 0.095144
hmmer, 32, 64.241105, 0.059842
libm, 32, 266.645949, 0.280514
mcf, 32, 66.581924, 0.063297
sjeng, 32, 822.779199, 0.882911
bzip, 64, 127.427582, 0.085526
hmmer, 64, 92.262480, 0.059396
libm, 64, 237.012853, 0.174772
mcf, 64, 97.074460, 0.065187
sjeng, 64, 670.463018, 0.513664
