Benchmark, L2_S ,Energy, Runtime,EDP
bzip,1,127.427582,0.085526,10.89837138
hmmer,1,92.26248,0.059396,5.480022262
libm,1,237.012853,0.174772,41.42321034
mcf,1,97.07446,0.065187,6.327992824
sjeng,1,670.463018,0.513664,344.3927157
bzip,2,126.050431,0.083982,10.5859673
hmmer,2,92.423146,0.059396,5.48956518
libm,2,237.660157,0.174671,41.51233728
mcf,2,97.279011,0.064955,6.31875816
sjeng,2,672.847494,0.513528,345.5260279
bzip,4,125.269367,0.082692,10.3587745
hmmer,4,92.755466,0.059396,5.509303659
libm,4,238.727494,0.174482,41.65365061
mcf,4,97.977684,0.064926,6.361299111
sjeng,4,676.707265,0.513271,347.3342146
