
Simulation, Energy, Runtime
energy-specbzip_DL1_A_2_S_64_IL1_A_2_S_32_L2_A_8_S_1_LS_64.txt,127.427582,0.085526,
energy-spechmmer_DL1_A_2_S_64_IL1_A_2_S_32_L2_A_8_S_1_LS_64.txt,92.262480,0.059396,
energy-speclibm_DL1_A_2_S_64_IL1_A_2_S_32_L2_A_8_S_1_LS_64.txt,237.012853,0.174772,
energy-specmcf_DL1_A_2_S_64_IL1_A_2_S_32_L2_A_8_S_1_LS_64.txt,97.074460,0.065187,
energy-specsjeng_DL1_A_2_S_64_IL1_A_2_S_32_L2_A_8_S_1_LS_64.txt,670.463018,0.513664,
energy-specbzip_DL1_A_1_S_64_IL1_A_2_S_32_L2_A_8_S_1_LS_64.txt,129.310730,0.087150,
energy-spechmmer_DL1_A_1_S_64_IL1_A_2_S_32_L2_A_8_S_1_LS_64.txt,93.550455,0.060575,
energy-speclibm_DL1_A_1_S_64_IL1_A_2_S_32_L2_A_8_S_1_LS_64.txt,237.449766,0.175527,
energy-specmcf_DL1_A_1_S_64_IL1_A_2_S_32_L2_A_8_S_1_LS_64.txt,97.021891,0.065300,
energy-specsjeng_DL1_A_1_S_64_IL1_A_2_S_32_L2_A_8_S_1_LS_64.txt,670.329293,0.514649,
energy-specbzip_DL1_A_16_S_64_IL1_A_2_S_32_L2_A_8_S_1_LS_64.txt,134.576004,0.084266,
energy-spechmmer_DL1_A_16_S_64_IL1_A_2_S_32_L2_A_8_S_1_LS_64.txt,100.674915,0.059385,
energy-speclibm_DL1_A_16_S_64_IL1_A_2_S_32_L2_A_8_S_1_LS_64.txt,230.311920,0.174772,
energy-specmcf_DL1_A_16_S_64_IL1_A_2_S_32_L2_A_8_S_1_LS_64.txt,104.081799,0.065165,
energy-specsjeng_DL1_A_16_S_64_IL1_A_2_S_32_L2_A_8_S_1_LS_64.txt,646.625051,0.513658,
energy-specbzip_DL1_A_4_S_64_IL1_A_2_S_32_L2_A_8_S_1_LS_64.txt,102.961586,0.084741,
energy-spechmmer_DL1_A_4_S_64_IL1_A_2_S_32_L2_A_8_S_1_LS_64.txt,75.627682,0.059387,
energy-speclibm_DL1_A_4_S_64_IL1_A_2_S_32_L2_A_8_S_1_LS_64.txt,189.142977,0.174772,
energy-specmcf_DL1_A_4_S_64_IL1_A_2_S_32_L2_A_8_S_1_LS_64.txt,79.472719,0.065174,
energy-specsjeng_DL1_A_4_S_64_IL1_A_2_S_32_L2_A_8_S_1_LS_64.txt,533.632001,0.513649,
energy-specbzip_DL1_A_8_S_64_IL1_A_2_S_32_L2_A_8_S_1_LS_64.txt,111.097908,0.084451,
energy-spechmmer_DL1_A_8_S_64_IL1_A_2_S_32_L2_A_8_S_1_LS_64.txt,81.697716,0.059384,
energy-speclibm_DL1_A_8_S_64_IL1_A_2_S_32_L2_A_8_S_1_LS_64.txt,200.641577,0.174772,
energy-specmcf_DL1_A_8_S_64_IL1_A_2_S_32_L2_A_8_S_1_LS_64.txt,87.076830,0.065168,
energy-specsjeng_DL1_A_8_S_64_IL1_A_2_S_32_L2_A_8_S_1_LS_64.txt,575.537818,0.513663,
energy-specbzip_DL1_A_2_S_128_IL1_A_2_S_32_L2_A_8_S_1_LS_64.txt,157.127603,0.084084,
energy-spechmmer_DL1_A_2_S_128_IL1_A_2_S_32_L2_A_8_S_1_LS_64.txt,115.369172,0.059309,
energy-speclibm_DL1_A_2_S_128_IL1_A_2_S_32_L2_A_8_S_1_LS_64.txt,294.614908,0.174772,
energy-specmcf_DL1_A_2_S_128_IL1_A_2_S_32_L2_A_8_S_1_LS_64.txt,121.040241,0.065166,
energy-specsjeng_DL1_A_2_S_128_IL1_A_2_S_32_L2_A_8_S_1_LS_64.txt,833.041270,0.513664,
energy-specbzip_DL1_A_2_S_16_IL1_A_2_S_32_L2_A_8_S_1_LS_64.txt,77.424942,0.088595,
energy-spechmmer_DL1_A_2_S_16_IL1_A_2_S_32_L2_A_8_S_1_LS_64.txt,53.281168,0.059681,
energy-speclibm_DL1_A_2_S_16_IL1_A_2_S_32_L2_A_8_S_1_LS_64.txt,147.421276,0.174782,
energy-specmcf_DL1_A_2_S_16_IL1_A_2_S_32_L2_A_8_S_1_LS_64.txt,59.909077,0.067506,
energy-specsjeng_DL1_A_2_S_16_IL1_A_2_S_32_L2_A_8_S_1_LS_64.txt,424.861874,0.513655,
energy-specbzip_DL1_A_2_S_32_IL1_A_2_S_32_L2_A_8_S_1_LS_64.txt,76.610228,0.086884,
energy-spechmmer_DL1_A_2_S_32_IL1_A_2_S_32_L2_A_8_S_1_LS_64.txt,53.767736,0.059567,
energy-speclibm_DL1_A_2_S_32_IL1_A_2_S_32_L2_A_8_S_1_LS_64.txt,148.868102,0.174775,
energy-specmcf_DL1_A_2_S_32_IL1_A_2_S_32_L2_A_8_S_1_LS_64.txt,58.651470,0.065222,
energy-specsjeng_DL1_A_2_S_32_IL1_A_2_S_32_L2_A_8_S_1_LS_64.txt,428.816428,0.513661,
energy-specbzip_DL1_A_2_S_64_IL1_A_1_S_32_L2_A_8_S_1_LS_64.txt,127.405524,0.085531,
energy-spechmmer_DL1_A_2_S_64_IL1_A_1_S_32_L2_A_8_S_1_LS_64.txt,100.485016,0.065852,
energy-speclibm_DL1_A_2_S_64_IL1_A_1_S_32_L2_A_8_S_1_LS_64.txt,236.951985,0.174769,
energy-specmcf_DL1_A_2_S_64_IL1_A_1_S_32_L2_A_8_S_1_LS_64.txt,99.622710,0.067065,
energy-specsjeng_DL1_A_2_S_64_IL1_A_1_S_32_L2_A_8_S_1_LS_64.txt,670.280696,0.513653,
energy-specbzip_DL1_A_2_S_64_IL1_A_16_S_32_L2_A_8_S_1_LS_64.txt,143.746666,0.085516,
energy-spechmmer_DL1_A_2_S_64_IL1_A_16_S_32_L2_A_8_S_1_LS_64.txt,103.589850,0.059386,
energy-speclibm_DL1_A_2_S_64_IL1_A_16_S_32_L2_A_8_S_1_LS_64.txt,271.105018,0.175298,
energy-specmcf_DL1_A_2_S_64_IL1_A_16_S_32_L2_A_8_S_1_LS_64.txt,98.942262,0.058010,
energy-specsjeng_DL1_A_2_S_64_IL1_A_16_S_32_L2_A_8_S_1_LS_64.txt,768.562255,0.513671,
energy-specbzip_DL1_A_2_S_64_IL1_A_4_S_32_L2_A_8_S_1_LS_64.txt,134.200695,0.085522,
energy-spechmmer_DL1_A_2_S_64_IL1_A_4_S_32_L2_A_8_S_1_LS_64.txt,96.960085,0.059389,
energy-speclibm_DL1_A_2_S_64_IL1_A_4_S_32_L2_A_8_S_1_LS_64.txt,251.522303,0.175298,
energy-specmcf_DL1_A_2_S_64_IL1_A_4_S_32_L2_A_8_S_1_LS_64.txt,92.453070,0.058003,
energy-specsjeng_DL1_A_2_S_64_IL1_A_4_S_32_L2_A_8_S_1_LS_64.txt,711.166379,0.513660,
energy-specbzip_DL1_A_2_S_64_IL1_A_8_S_32_L2_A_8_S_1_LS_64.txt,137.981024,0.085522,
energy-spechmmer_DL1_A_2_S_64_IL1_A_8_S_32_L2_A_8_S_1_LS_64.txt,99.578550,0.059385,
energy-speclibm_DL1_A_2_S_64_IL1_A_8_S_32_L2_A_8_S_1_LS_64.txt,259.270475,0.175298,
energy-specmcf_DL1_A_2_S_64_IL1_A_8_S_32_L2_A_8_S_1_LS_64.txt,95.016860,0.058003,
energy-specsjeng_DL1_A_2_S_64_IL1_A_8_S_32_L2_A_8_S_1_LS_64.txt,733.884326,0.513671,
energy-specbzip_DL1_A_2_S_64_IL1_A_2_S_128_L2_A_8_S_1_LS_64.txt,186.483371,0.085526,
energy-spechmmer_DL1_A_2_S_64_IL1_A_2_S_128_L2_A_8_S_1_LS_64.txt,133.246617,0.059382,
energy-speclibm_DL1_A_2_S_64_IL1_A_2_S_128_L2_A_8_S_1_LS_64.txt,358.673206,0.175298,
energy-specmcf_DL1_A_2_S_64_IL1_A_2_S_128_L2_A_8_S_1_LS_64.txt,127.920345,0.058010,
energy-specsjeng_DL1_A_2_S_64_IL1_A_2_S_128_L2_A_8_S_1_LS_64.txt,1022.753631,0.513667,
energy-specbzip_DL1_A_2_S_64_IL1_A_2_S_16_L2_A_8_S_1_LS_64.txt,126.810998,0.085531,
energy-spechmmer_DL1_A_2_S_64_IL1_A_2_S_16_L2_A_8_S_1_LS_64.txt,91.879198,0.059432,
energy-speclibm_DL1_A_2_S_64_IL1_A_2_S_16_L2_A_8_S_1_LS_64.txt,235.734992,0.174767,
energy-specmcf_DL1_A_2_S_64_IL1_A_2_S_16_L2_A_8_S_1_LS_64.txt,103.280420,0.070371,
energy-specsjeng_DL1_A_2_S_64_IL1_A_2_S_16_L2_A_8_S_1_LS_64.txt,666.708725,0.513651,
